27/05/2026 16:46:06	Akj		Food, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, Terrace Access, indoor games, Outdoor games	Veg	33/33/34	5000	20000	10000	12:00:00	10 -2 pm	10	20	30	40	100000	200	1000	10000	No 					
29/05/2026 00:30:41	AADHYA RESIDENCY 		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Transportation, DIning/Mess Area, Terrace Access, Bed with storage, Wardrobe/Almirah, AC, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Washing Machine, Geyser, Common Balcony, Attached washroom, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Power Backup, CCTV Surveillance, Two wheeler Parking	Veg	40/30/30	5000	5000	10000	11:00:00	3pm to 6pm in day or 9pm to 5Am in night	No	30	No	No	No	145000	No	No	10000					
29/05/2026 12:47:02	JIva STAY		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Transportation, DIning/Mess Area, Terrace Access, indoor games, Bed with storage, Wardrobe/Almirah, AC, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Washing Machine, Common Fridge, Geyser, Common Balcony, Attached washroom, Indian Toilet, Western Toilet, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Power Backup, CCTV Surveillance, Two wheeler Parking	Veg	60/40	5000	No	10000	21:00:00	No	No	6	42	No	No	180000	160000	No	10000					
29/05/2026 14:06:20	SHAKUNTLAM BOY'S HOSTEL SH 1		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, Outdoor games, Bed with storage, Wardrobe/Almirah, AC, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Washing Machine, Common Fridge, Common Induction, Geyser, Attached Balcony, Common Balcony, Attached washroom, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Elevator/Lift, Power Backup, CCTV Surveillance, Two wheeler Parking, Four wheeler Parking	Veg	40/30/30, 60/40, 50/50, 50/30/20, 50/25/25	2000	No	10000	20:00:00	02:00 p m -5:00 pm, 6:30 pm -8:00 pm ,10:00 pm to05 am 	Nil	Nil	210	Nil	Nil	Nil	140000/	Nil	No					
29/05/2026 14:16:15	SHAKUNTLAM GIRLS HOSTEL SH 2		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, Terrace Access, indoor games, Bed with storage, Wardrobe/Almirah, AC, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Washing Machine, Common Fridge, Common Induction, Geyser, Attached Balcony, Common Balcony, Attached washroom, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Elevator/Lift, Power Backup, CCTV Surveillance, Two wheeler Parking	Veg	40/30/30, 60/40, 50/50, 50/30/20, 50/25/25, 30% + 10% from next month every first week 	2000	Nil	10000/	20:00:00	02:00 pm to 5:00 pm,06:30 pm to 8:00 pm, 10:00pm to 05:00 am	Nil	90	15	Nil	Nil	165000/	140000/	Nil	Nil					
29/05/2026 14:24:14	SHAKUNTLAM BOY'S HOSTEL SH 3		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, Terrace Access, indoor games, Bed with storage, Wardrobe/Almirah, AC, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Washing Machine, Common Fridge, Common Induction, Geyser, Attached Balcony, Common Balcony, Attached washroom, Common/Shared washroom, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Elevator/Lift, Power Backup, CCTV Surveillance, Study Room / Library, Two wheeler Parking	Veg	40/30/30, 60/40, 50/50, 50/30/20, 50/25/25, 30% first month and 10% from next month every first week 	2000	Nil	10000/-	20:00:00	2:00 pm to 5:00, 06:30 pm to 8:00 pm, 10:00 pm to 5:00 am	Nil	Nil	169	Nil	Nil	Nil	140000/	Nil	Nil					
29/05/2026 14:34:32	SHAKUNTLAM GIRLS HOSTEL SH 4		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, Terrace Access, indoor games, Bed with storage, Wardrobe/Almirah, AC, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Washing Machine, Common Fridge, Common Induction, Geyser, Attached Balcony, Common Balcony, Attached washroom, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Elevator/Lift, Power Backup, CCTV Surveillance, Study Room / Library, Two wheeler Parking	Veg	40/30/30, 60/40, 50/50, 50/30/20, 50/25/25, 30% first month and 10% every first week of the month 	2000/-	Nil	10000/-	20:00:00	02:00pm to 5:00 pm, 06:30 pm to 8:00 pm, 10:00 pm to 5:00 am	Nil	Nil	123	Nil	Nil	Nil	140000/	Nil	Nil					
29/05/2026 15:33:59	Ars Residency Block A		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Transportation, DIning/Mess Area, Terrace Access, Bed with storage, Bed without Storage, Wardrobe/Almirah, AC, Cooler, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Induction, Geyser, Attached Balcony, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Power Backup, CCTV Surveillance, Two wheeler Parking, Four wheeler Parking	Veg	50/50	5000	10000	10000	10:00:00	14 hrs	5	12	40	34	200000-240000	140000-160000	120000-140000	100000-120000	15000					
29/05/2026 15:39:55	Ars Residency Block B		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Transportation, DIning/Mess Area, Terrace Access, Bed with storage, Bed without Storage, Wardrobe/Almirah, AC, Cooler, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Induction, Geyser, Attached Balcony, Common Balcony, Attached washroom, Common/Shared washroom, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Power Backup, CCTV Surveillance, Two wheeler Parking, Four wheeler Parking	Veg	50/50	5000	10000	15000	10:00:00	14 hrs	4	16	40	28	200000-240000	140000-160000	120000-140000	100000-120000	15000					
29/05/2026 15:44:37	Ars Residency Block-C		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Transportation, DIning/Mess Area, Terrace Access, Outdoor games, Bed with storage, Bed without Storage, Wardrobe/Almirah, AC, Cooler, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Induction, Geyser, Attached Balcony, Common Balcony, Attached washroom, Common/Shared washroom, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Power Backup, CCTV Surveillance, Two wheeler Parking, Four wheeler Parking	Veg	50/50	5000	10000	15000	10:00:00	14 hrs	5	20	50	28	250000	170000	15000	130000	15000					
29/05/2026 19:26:13	Finix residency boys hostel  plot no 11 C kp 3 		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, Terrace Access, indoor games, Bed with storage, Wardrobe/Almirah, AC, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Washing Machine, Common Fridge, Common Induction, Geyser, Attached Balcony, Attached washroom, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Elevator/Lift, Power Backup, CCTV Surveillance, Study Room / Library, Two wheeler Parking, Four wheeler Parking, Vending Machine	Veg	50/50	5000	10000	10000	10:00:00	Yes 	No	40	400	No	No	200000	155000	No	10000					
30/05/2026 15:08:45	Saraswati Niwas Hostels 		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, Terrace Access, indoor games, Outdoor games, Bed with storage, Bed without Storage, Wardrobe/Almirah, AC, Cooler, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Washing Machine, Common Fridge, Common Induction, Geyser, Attached Balcony, Common Balcony, Attached washroom, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Elevator/Lift, Power Backup, CCTV Surveillance, Study Room / Library, Two wheeler Parking, Four wheeler Parking, Vending Machine, Familiar Environment 	Veg, Non veg	60/40, 50/50, 50/30/20	5000	5000	11000	23:00:00	8 hours excluding Sunday 	0	6	24	0	0	130000	125000	0	5000		Male	Plot no 67 Namoli Knowledge Park 3		
30/05/2026 15:18:30	Saraswati Niwas Hostels		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, Terrace Access, indoor games, Outdoor games, Bed with storage, Bed without Storage, Wardrobe/Almirah, AC, Cooler, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Washing Machine, Common Fridge, Common Induction, Geyser, Attached Balcony, Common Balcony, Attached washroom, Common/Shared washroom, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Power Backup, CCTV Surveillance, Study Room / Library, Two wheeler Parking, Four wheeler Parking, Vending Machine, Familiar Environment 	Veg, Non veg	60/40, 50/50, 50/30/20	5000	5000	11000	23:00:00	10 hours 	1	0	18	0	250000	0	145000	0	5000		Male	Plot no 66 Namoli KP 3 (AR1)		
30/05/2026 15:21:12	Saraswati Niwas Hostels 		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, Terrace Access, indoor games, Outdoor games, Bed with storage, Bed without Storage, Wardrobe/Almirah, AC, Cooler, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Washing Machine, Common Fridge, Common Induction, Geyser, Attached Balcony, Common Balcony, Attached washroom, Indian Toilet, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Power Backup, CCTV Surveillance, Study Room / Library, Two wheeler Parking, Four wheeler Parking, Vending Machine, Familiar Environment 	Veg, Non veg	60/40, 50/50, 50/30/20	5000	5000	11000	23:00:00	8 to 10 hours 	0	8	59	0	0	155000	145000	0	5000		Male	AR2 plot no 66 Namoli KP3		
